Team,MapsPicked,WinRate
FaZe,33,"0,5455"
Vitality,32,"0,5938"
NAVI,31,"0,6774"
Heroic,26,"0,4231"
G2,26,"0,7308"
MOUZ,24,"0,4583"
FURIA,23,"0,4783"
Liquid,22,"0,5909"
ENCE,22,"0,6364"
Virtus pro,19,"0,5789"
Spirit,18,"0,6111"
paiN,18,"0,6667"
NIP,17,"0,3529"
GamerLegion,16,"0,5000"
Astralis,15,"0,7333"
Cloud9,14,"0,6429"
mibr,14,"0,5000"
Complexity,13,"0,5385"
MongolZ,13,"0,6154"
Imperial,12,"0,5833"
Renegades,11,"0,6364"
BIG,11,"0,6364"
Fnatic,10,"0,6000"
AVANGAR,9,"0,4444"
NRG,8,"0,5000"
Tyloo,8,"0,3750"
Legacy,7,"0,5714"
Grayhound,7,"0,1429"
forZe,7,"0,0000"
Bad News Eagles,7,"0,4286"
Apeks,7,"0,4286"
Copenhagen Flames,7,"0,7143"
Wildcard,6,"0,6667"
Lynn Vision,6,"0,5000"
FlyQuest,6,"0,1667"
Eternal Fire,5,"0,4000"
Monte,5,"0,4000"
OG,5,"0,8000"
CR4ZY,4,"1,0000"
IHC,4,"0,7500"
Nemiga,4,"1,0000"
Entropiq,4,"0,0000"
DreamEaters,3,"0,6667"
Gambit,3,"0,6667"
North,3,"0,6667"
3DMAX,3,"0,3333"
ECSTATIC,3,"0,3333"
9z,3,"0,0000"
Into The Breach,3,"0,0000"
B8,3,"1,0000"
SAW,3,"0,0000"
Syman Gaming,2,"1,0000"
BetBoom,2,"0,5000"
EG,2,"0,5000"
Fluxo,2,"0,5000"
Movistar,2,"0,5000"
Passion UA,2,"0,5000"
Rare Atom,2,"0,5000"
ViCi,2,"0,5000"
Falcons,2,"0,0000"
Hellraisers,2,"0,0000"
Winstrike,2,"0,0000"
Sprout,2,"0,5000"
Chinggis Warriors,2,"0,0000"
Aurora,1,"1,0000"
Sharks,1,"1,0000"
9INE,1,"0,0000"
AMKAL,1,"0,0000"
GODSENT,1,"0,0000"
INTZ,1,"0,0000"
KOI,1,"0,0000"
Metizport,1,"0,0000"
Vega Squadron,1,"0,0000"
00 Nation,1,"1,0000"
M80,1,"0,0000"
